source,target,reversibility
PEP,1
1,Pyruvate
Pyruvate,2
2,AcCoA
Acetate,3
3,Diphosphate
3,AcCoA
OxaloSuc,4,reversible
4,2-Oxo,reversible
Malate,6,reversible
6,Oxa,reversible
Pyruvate,8
Hco3-,8
8,Oxa
AcCoA,9,reversible
Oxa,9,reversible
9,Citrate,reversible
Suc,11,reversible
11,SucCoA,reversible
Oxa,13
13,PEP
2PG,14,reversible
14,PEP,reversible
Lactate,16,reversible
16,Pyruvate,reversible
Isocitrate,18,reversible
18,2-Oxo,reversible
Acetaldehyde,20,reversible
20,Acetate,reversible
Ethanol,22,reversible
22,Acetaldehyde,reversible
G1P,24,reversible
24,a-G6P,reversible
G3P,26,reversible
26,GlyP,reversible
R5P,28,reversible
28,PRPP,reversible
Ribose,30,reversible
30,R5P,reversible
R5P,32,reversible
32,Ru5P,reversible
R1P,34,reversible
34,R5P,reversible
G3P,36,reversible
36,G1_3P,reversible
DR5P,38,reversible
38,G3P,reversible
38,Acetaldehyde,reversible
F1_6P,40,reversible
40,GlyP,reversible
40,G3P,reversible
Malate,42,reversible
42,Fum,reversible
Citrate,44,reversible
44,CisAco,reversible
3PG,46,reversible
46,G1_3P,reversible
2_3PG,48,reversible
48,3PG,reversible
2PG,50,reversible
50,3PG,reversible
G1_5L,52
52,Gluconic_acid
6PG,53
53,Ru5P
Ru5P,54,reversible
54,X5P,reversible
b-Glu,56,reversible
56,b-G6P,reversible
a-Glu,57,reversible
57,b-Glu,reversible
S7P,59,reversible
G3P,59,reversible
59,R5P,reversible
59,X5P,reversible
G1_3P,61,reversible
61,2_3PG,reversible
Gluconic_acid,63
63,6PG
a-Glu,64,reversible
64,a-G6P,reversible
S7P,66,reversible
G3P,66,reversible
66,E4P,reversible
66,F6P,reversible
F6P,68,reversible
G3P,68,reversible
68,E4P,reversible
68,X5P,reversible
Isocitrate,70,reversible
70,OxaloSuc,reversible
CisAco,72,reversible
72,Isocitrate,reversible
G1_5L6P,74
74,6PG
Suc,75,reversible
75,Fum,reversible
b-G6P,77
77,G1_5L6P
a-G6P,78,reversible
78,b-G6P,reversible
a-G6P,80,reversible
80,F6P,reversible
DR1P,82,reversible
82,DR5P,reversible
Deoxyribose,84,reversible
84,DR5P,reversible
b-G6P,86,reversible
86,F6P,reversible
F6P,88,reversible
88,F1_6P,reversible
2-Oxo,90
90,SucCoA
Glycerate,91
91,2PG
2_3PG,93
93,2PG
outnode_in_G1_5L,in_G1_5L
in_G1_5L,G1_5L
outnode_in_Glycerate,in_Glycerate
in_Glycerate,Glycerate
outnode_in_HCO3-,in_HCO3-
in_HCO3-,Hco3-
outnode_in_DR5P,in_DR5P
in_DR5P,DR5P
outnode_in_Glu,in_Glu
in_Glu,a-Glu
Pyruvate,out_Pyruvate
out_Pyruvate,outnode_out_Pyruvate
Diphosphate,out_Diphosphate
out_Diphosphate,outnode_out_Diphosphate
AcCoA,out_AcCoA
out_AcCoA,outnode_out_AcCoA
G3P,out_G3P
out_G3P,outnode_out_G3P
